player_id,full_name,tm_profile_link,tm_player_id,tm_player_url_name,birth_date,position,club_name,club_country,last_updated
a1a20d702e05d6a2ecc504e254a2e0ad,Patrick Schulte,/patrick-schulte/profil/spieler/649397,649397,patrick-schulte,2001-03-13,Goalkeeper,Columbus Crew,,2025-11-03T14:14:54.841699
89115bb8efd1d9f3202f9edf594074f2,Matt Turner,/matt-turner/profil/spieler/425306,425306,matt-turner,1994-06-24,Goalkeeper,New England Revolution,,2025-11-03T14:14:54.841853
45de3660588cc2a2e6fa6bc06ea620c0,Chris Brady,/chris-brady/profil/spieler/765504,765504,chris-brady,2004-03-03,Goalkeeper,Chicago Fire FC,,2025-11-03T14:14:54.841996
c318749e654c677395eacd41c1627f0b,Matt Freese,/matt-freese/profil/spieler/500309,500309,matt-freese,1998-09-02,Goalkeeper,New York City FC,,2025-11-03T14:14:54.842122
d988a721de1b2d19143bdbb70087f0e7,Chris Richards,/chris-richards/profil/spieler/578539,578539,chris-richards,2000-03-28,Centre-Back,Crystal Palace,,2025-11-03T14:14:54.842244
b117efac50f75ec41b99726816ae78da,Cameron Carter-Vickers,/cameron-carter-vickers/profil/spieler/341049,341049,cameron-carter-vickers,1997-12-31,Centre-Back,Celtic FC,,2025-11-03T14:14:54.842364
fcfbbf38944d9efd16d411e65a459efb,Mark McKenzie,/mark-mckenzie/profil/spieler/429259,429259,mark-mckenzie,1999-02-25,Centre-Back,FC Toulouse,,2025-11-03T14:14:54.842477
27e8de5bfc8ddfd25cd59f53ab587586,Miles Robinson,/miles-robinson/profil/spieler/468022,468022,miles-robinson,1997-03-14,Centre-Back,FC Cincinnati,,2025-11-03T14:14:54.842587
8b543e31b90a7ff6ee46f32b3013c51a,Tim Ream,/tim-ream/profil/spieler/145466,145466,tim-ream,1987-10-05,Centre-Back,Charlotte FC,,2025-11-03T14:14:54.842700
c4e73927248e63bf1eb2aaf855408a12,Antonee Robinson,/antonee-robinson/profil/spieler/349701,349701,antonee-robinson,1997-08-08,Left-Back,Fulham FC,,2025-11-03T14:14:54.842814
424c8623840d907447527f083741d3ec,Alex Freeman,/alex-freeman/profil/spieler/985806,985806,alex-freeman,2004-08-09,Right-Back,Orlando City SC,,2025-11-03T14:14:54.842931
208ac89d5698d23c31bfa8203a17c65b,Tanner Tessmann,/tanner-tessmann/profil/spieler/670096,670096,tanner-tessmann,2001-09-24,Defensive Midfield,Olympique Lyon,,2025-11-03T14:14:54.843070
998f0a7e24f2f87f918366cde9bbf117,James Sands,/james-sands/profil/spieler/393321,393321,james-sands,2000-07-06,Defensive Midfield,FC St. Pauli,,2025-11-03T14:14:54.843187
c0f5aa96dd886f469a4c3d9641d7e7fa,Weston McKennie,/weston-mckennie/profil/spieler/332697,332697,weston-mckennie,1998-08-28,Central Midfield,Juventus FC,,2025-11-03T14:14:54.843299
fd0fc285795d5bd2c8e27eff979d50be,Aidan Morris,/aidan-morris/profil/spieler/513968,513968,aidan-morris,2001-11-16,Central Midfield,Middlesbrough FC,,2025-11-03T14:14:54.843409
debfe91377979f42ebdacff8cbae8331,Cristian Roldán,/cristian-roldan/profil/spieler/354792,354792,cristian-roldan,1995-06-03,Central Midfield,Seattle Sounders FC,,2025-11-03T14:14:54.843522
6388281fe3d1f9c71643d8d6afc6782a,Diego Luna,/diego-luna/profil/spieler/880626,880626,diego-luna,2003-09-07,Left Midfield,Real Salt Lake City,,2025-11-03T14:14:54.843631
88c33aac413028fa09d396b3ba890041,Malik Tillman,/malik-tillman/profil/spieler/467437,467437,malik-tillman,2002-05-28,Attacking Midfield,Bayer 04 Leverkusen,,2025-11-03T14:14:54.843742
f7688f09fc19837be376dfb7340ebc9f,Brenden Aaronson,/brenden-aaronson/profil/spieler/393323,393323,brenden-aaronson,2000-10-22,Attacking Midfield,Leeds United,,2025-11-03T14:14:54.843851
ec363860130a78f424bcee9b500ba85a,Max Arfsten,/max-arfsten/profil/spieler/993063,993063,max-arfsten,2001-04-19,Left Winger,Columbus Crew,,2025-11-03T14:14:54.843984
d86ef576b60e9a29075f3e438bf83b40,Christian Pulisic,/christian-pulisic/profil/spieler/315779,315779,christian-pulisic,1998-09-18,Right Winger,AC Milan,,2025-11-03T14:14:54.844099
b4a552b44965781467db2591fb62e2b3,Timothy Weah,/timothy-weah/profil/spieler/370846,370846,timothy-weah,2000-02-22,Right Winger,Olympique Marseille,,2025-11-03T14:14:54.844214
cec8b962da829fcc2335420546b54f50,Álex Zendejas,/alex-zendejas/profil/spieler/351505,351505,alex-zendejas,1998-02-07,Right Winger,CF América,,2025-11-03T14:14:54.844325
91228c2a9fd8778938b74b0dec4f7772,Folarin Balogun,/folarin-balogun/profil/spieler/503770,503770,folarin-balogun,2001-07-03,Centre-Forward,AS Monaco,,2025-11-03T14:14:54.844435
fcc75917e36ec91fcffc009d6dda2ca1,Haji Wright,/haji-wright/profil/spieler/315291,315291,haji-wright,1998-03-27,Centre-Forward,Coventry City,,2025-11-03T14:14:54.844549
fd429c75bce676b814b29f27aeb29c7a,Patrick Agyemang,/patrick-agyemang/profil/spieler/1089574,1089574,patrick-agyemang,2000-11-07,Centre-Forward,Derby County,,2025-11-03T14:14:54.844658
